"capability";"count"
"BlueprintAssignments";"0"
"Blueprints";"1"
"ManagementGroups";"3"
"MDfCSecureScore_80c5c29b-f6c2-457b-af54-603a8d840878";"39.29"
"OrpanedResourceType_microsoft.compute/disks";"2"
"OrpanedResourceType_microsoft.network/networksecuritygroups";"2"
"OrpanedResourceType_microsoft.network/publicipaddresses";"1"
"OrpanedResourceType_microsoft.resources/subscriptions/resourcegroups";"104"
"PolicyAssignments";"37"
"PolicyAssignments_ManagementGroups";"0"
"PolicyAssignments_ResourceGroups";"25"
"PolicyAssignments_Subscriptions";"12"
"PolicyDefinitionsBuiltIn";"1717"
"PolicyDefinitionsCustom";"17"
"PolicySetDefinitionsBuiltIn";"54"
"PolicySetDefinitionsCustom";"0"
"Resources";"573"
"ResourceType_microsoft.alertsmanagement/smartdetectoralertrules";"2"
"ResourceType_microsoft.analysisservices/servers";"1"
"ResourceType_microsoft.automation/automationaccounts";"3"
"ResourceType_microsoft.automation/automationaccounts/runbooks";"4"
"ResourceType_microsoft.azurestack/linkedsubscriptions";"1"
"ResourceType_microsoft.cognitiveservices/accounts";"5"
"ResourceType_microsoft.compute/disks";"29"
"ResourceType_microsoft.compute/restorepointcollections";"10"
"ResourceType_microsoft.compute/sshpublickeys";"3"
"ResourceType_microsoft.compute/virtualmachines";"24"
"ResourceType_microsoft.compute/virtualmachines/extensions";"78"
"ResourceType_microsoft.compute/virtualmachinescalesets";"2"
"ResourceType_microsoft.containerinstance/containergroups";"1"
"ResourceType_microsoft.containerregistry/registries";"2"
"ResourceType_microsoft.containerservice/managedclusters";"1"
"ResourceType_microsoft.databoxedge/databoxedgedevices";"1"
"ResourceType_microsoft.desktopvirtualization/applicationgroups";"2"
"ResourceType_microsoft.desktopvirtualization/hostpools";"2"
"ResourceType_microsoft.desktopvirtualization/scalingplans";"1"
"ResourceType_microsoft.desktopvirtualization/workspaces";"2"
"ResourceType_microsoft.devtestlab/schedules";"10"
"ResourceType_microsoft.edgeorder/addresses";"3"
"ResourceType_microsoft.edgeorder/orderitems";"4"
"ResourceType_microsoft.insights/actiongroups";"3"
"ResourceType_microsoft.insights/autoscalesettings";"41"
"ResourceType_microsoft.insights/components";"2"
"ResourceType_microsoft.insights/metricalerts";"1"
"ResourceType_microsoft.insights/privatelinkscopes";"2"
"ResourceType_microsoft.insights/workbooks";"25"
"ResourceType_microsoft.keyvault/vaults";"2"
"ResourceType_microsoft.logic/workflows";"1"
"ResourceType_microsoft.managedidentity/userassignedidentities";"2"
"ResourceType_microsoft.migrate/movecollections";"2"
"ResourceType_microsoft.network/applicationsecuritygroups";"2"
"ResourceType_microsoft.network/azurefirewalls";"3"
"ResourceType_microsoft.network/bastionhosts";"8"
"ResourceType_microsoft.network/firewallpolicies";"3"
"ResourceType_microsoft.network/loadbalancers";"2"
"ResourceType_microsoft.network/natgateways";"1"
"ResourceType_microsoft.network/networkinterfaces";"31"
"ResourceType_microsoft.network/networksecuritygroups";"22"
"ResourceType_microsoft.network/networkwatchers";"13"
"ResourceType_microsoft.network/privatednszones";"14"
"ResourceType_microsoft.network/privatednszones/virtualnetworklinks";"14"
"ResourceType_microsoft.network/privateendpoints";"7"
"ResourceType_microsoft.network/publicipaddresses";"32"
"ResourceType_microsoft.network/routetables";"15"
"ResourceType_microsoft.network/virtualnetworkgateways";"1"
"ResourceType_microsoft.network/virtualnetworks";"23"
"ResourceType_microsoft.operationalinsights/workspaces";"10"
"ResourceType_microsoft.operationsmanagement/solutions";"40"
"ResourceType_microsoft.powerbidedicated/capacities";"1"
"ResourceType_microsoft.recoveryservices/vaults";"9"
"ResourceType_microsoft.sql/servers";"4"
"ResourceType_microsoft.sql/servers/databases";"7"
"ResourceType_microsoft.sqlvirtualmachine/sqlvirtualmachines";"2"
"ResourceType_microsoft.storage/storageaccounts";"31"
"ResourceType_microsoft.synapse/workspaces";"2"
"ResourceType_microsoft.synapse/workspaces/sqlpools";"2"
"ResourceType_microsoft.web/serverfarms";"1"
"ResourceType_microsoft.web/sites";"1"
"ResourceTypes";"61"
"RoleDefinitionsCustom";"22"
"Subscriptions";"6"
"Subscriptions_Internal_2014-09-01";"6"
"SubscriptionsOutOfScope";"0"
"TotalRoleAssignments";"286"
"TotalRoleAssignments_ManagementGroups";"4"
"TotalRoleAssignments_RgRes";"225"
"TotalRoleAssignments_Subscriptions";"53"
"TotalRoleAssignments_Tenant";"4"
